,user,gender,province,time,text,mk,ks
175,2240640037.0,f,22,Mon Jul 11 21:51:43 +0800 2011,回复@兔兔babe-3:我不刷mk官网哇，我就转个自己的锁头包，你可以问问其他人看,1.0,0.0
176,1169020221.0,f,400,Wed Jan 19 02:19:31 +0800 2011,T-shirt是限量版还是在MK的店里就能买到[疑问],1.0,0.0
177,3473679810.0,f,400,Fri May 17 18:20:33 +0800 2013,除了洞洞鞋其他买过的牌子都磨脚…要不要尝试下MK的鞋呢[doge],1.0,0.0
178,3905562835.0,f,100,Sun Nov 17 11:50:32 +0800 2013,灰色ks多少,0.0,1.0
179,5238547449.0,f,400,Fri Aug 01 17:58:24 +0800 2014,mk mk[悲傷],1.0,0.0
180,5198092116.0,f,100,Sun Jun 29 15:15:28 +0800 2014,回复@sauir北美代购:求购双拉链杀手包啊，katespade的,0.0,1.0
181,1737426093.0,f,44,Mon May 03 21:19:24 +0800 2010,什麼時候再去mk店？,1.0,0.0
182,5014862797.0,m,11,Wed Jan 29 21:27:03 +0800 2014,明天我们将随机送出6件同款给参加本次活动的MK客户[笑cry][笑cry][笑cry][耶],1.0,0.0
183,2520303560.0,f,31,Mon Nov 07 21:32:03 +0800 2011,又定了个 //@小飞鱼欧美代购: 定了款这个， 超级像lv 那款一万多的alma， 哈， mk这个随便背个款式也是超划算滴 #MICHAEL Michael Kors# mk 大号贝壳 包，Cindy Large Dome Satchel,1.0,0.0
184,1767952275.0,f,11,Thu Aug 15 09:47:54 +0800 2013,"kate spade,一个大写的丑",0.0,1.0
185,1748992004.0,f,45,Mon May 31 16:24:48 +0800 2010,kate😍 美国代购[耶],0.0,1.0
186,1659834090.0,f,400,Tue Nov 10 14:00:44 +0800 2009,回复@心塞到世界尽头:美国KS直播代购,0.0,1.0
187,1821821280.0,f,31,Sat Sep 18 23:43:28 +0800 2010,求ks的牛奶盒包包[害羞],0.0,1.0
